DateTime	Temperature	Illumination	Cage
2020-03-14 17:53:16	26	254	1
2020-03-14 17:53:16	27	131	2
2020-03-14 17:54:16	26	254	1
2020-03-14 17:54:16	27	129	2
2020-03-14 17:55:16	26	254	1
2020-03-14 17:55:16	27	129	2
2020-03-14 17:56:16	26	254	1
2020-03-14 17:56:16	27	131	2
2020-03-14 17:57:16	26	254	1
2020-03-14 17:57:16	27	131	2
2020-03-14 17:58:16	26	254	1
2020-03-14 17:58:16	27	131	2
2020-03-14 17:59:16	26	254	1
2020-03-14 17:59:16	27	131	2
2020-03-14 18:00:16	26	254	1
2020-03-14 18:00:16	266	129	2
2020-03-14 18:01:16	26	254	1
2020-03-14 18:01:16	27	131	2
2020-03-14 18:02:16	26	254	1
2020-03-14 18:02:16	27	131	2
2020-03-14 18:03:16	26	254	1
2020-03-14 18:03:16	27	129	2
2020-03-14 18:04:16	26	0	1
2020-03-14 18:04:16	27	0	2
2020-03-14 18:05:16	26	0	1
2020-03-14 18:05:16	27	0	2
2020-03-14 18:06:16	26	0	1
2020-03-14 18:06:16	27	0	2
2020-03-14 18:07:16	26	0	1
2020-03-14 18:07:16	27	0	2
2020-03-14 18:08:16	26	0	1
2020-03-14 18:08:16	27	0	2
2020-03-14 18:09:16	26	0	1
2020-03-14 18:09:16	27	0	2
2020-03-14 18:10:16	26	0	1
2020-03-14 18:10:16	27	0	2
2020-03-14 18:11:16	26	0	1
2020-03-14 18:11:16	27	0	2
2020-03-14 18:12:16	26	0	1
2020-03-14 18:12:16	27	0	2
2020-03-14 18:13:16	26	0	1
2020-03-14 18:13:16	27	0	2
2020-03-14 18:14:16	266	0	1
2020-03-14 18:14:16	27	0	2
2020-03-14 18:15:16	26	0	1
2020-03-14 18:15:16	27	0	2
2020-03-14 18:16:16	266	0	1
2020-03-14 18:16:16	27	0	2
2020-03-14 18:17:16	26	0	1
2020-03-14 18:17:16	27	0	2
2020-03-14 18:18:16	266	0	1
2020-03-14 18:18:16	27	0	2
2020-03-14 18:19:16	266	0	1
2020-03-14 18:19:16	27	0	2
2020-03-14 18:20:16	266	0	1
2020-03-14 18:20:16	27	0	2
2020-03-14 18:21:16	266	0	1
2020-03-14 18:21:16	27	0	2
2020-03-14 18:22:16	266	0	1
2020-03-14 18:22:16	27	0	2
2020-03-14 18:23:16	266	0	1
2020-03-14 18:23:16	27	0	2
2020-03-14 18:24:16	266	0	1
2020-03-14 18:24:16	27	0	2
2020-03-14 18:25:16	266	0	1
2020-03-14 18:25:16	27	0	2
2020-03-14 18:26:16	266	0	1
2020-03-14 18:26:16	27	0	2
2020-03-14 18:27:16	266	0	1
2020-03-14 18:27:16	27	0	2
2020-03-14 18:28:16	266	0	1
2020-03-14 18:28:16	27	0	2
2020-03-14 18:29:16	266	0	1
2020-03-14 18:29:16	27	0	2
2020-03-14 18:30:16	266	0	1
2020-03-14 18:30:16	27	0	2
2020-03-14 18:31:16	266	0	1
2020-03-14 18:31:16	27	0	2
2020-03-14 18:32:16	266	0	1
2020-03-14 18:32:16	27	0	2
2020-03-14 18:33:16	266	0	1
2020-03-14 18:33:16	27	0	2
2020-03-14 18:34:16	266	0	1
2020-03-14 18:34:16	27	0	2
2020-03-14 18:35:16	266	0	1
2020-03-14 18:35:16	27	0	2
2020-03-14 18:36:16	266	0	1
2020-03-14 18:36:16	27	0	2
2020-03-14 18:37:16	266	0	1
2020-03-14 18:37:16	27	0	2
2020-03-14 18:38:16	266	0	1
2020-03-14 18:38:16	27	0	2
2020-03-14 18:39:16	266	0	1
2020-03-14 18:39:16	27	0	2
2020-03-14 18:40:16	266	0	1
2020-03-14 18:40:16	27	0	2
2020-03-14 18:41:16	266	0	1
2020-03-14 18:41:16	27	0	2
2020-03-14 18:42:16	266	0	1
2020-03-14 18:42:16	27	0	2
2020-03-14 18:43:16	266	0	1
2020-03-14 18:43:16	27	0	2
2020-03-14 18:44:16	266	0	1
2020-03-14 18:44:16	27	0	2
2020-03-14 18:45:16	266	0	1
2020-03-14 18:45:16	27	0	2
2020-03-14 18:46:16	266	0	1
2020-03-14 18:46:16	27	0	2
2020-03-14 18:47:16	266	0	1
2020-03-14 18:47:16	27	0	2
2020-03-14 18:48:16	266	0	1
2020-03-14 18:48:16	27	0	2
2020-03-14 18:49:16	266	0	1
2020-03-14 18:49:16	27	0	2
2020-03-14 18:50:16	266	0	1
2020-03-14 18:50:16	27	0	2
2020-03-14 18:51:16	266	0	1
2020-03-14 18:51:16	27	0	2
2020-03-14 18:52:16	266	0	1
2020-03-14 18:52:16	27	0	2
2020-03-14 18:53:16	266	0	1
2020-03-14 18:53:16	27	0	2
2020-03-14 18:54:16	266	0	1
2020-03-14 18:54:16	27	0	2
2020-03-14 18:55:16	266	0	1
2020-03-14 18:55:16	27	0	2
2020-03-14 18:56:16	266	0	1
2020-03-14 18:56:16	27	0	2
2020-03-14 18:57:16	266	0	1
2020-03-14 18:57:16	27	0	2
2020-03-14 18:58:16	266	0	1
2020-03-14 18:58:16	27	0	2
2020-03-14 18:59:16	266	0	1
2020-03-14 18:59:16	27	0	2
2020-03-14 19:00:16	266	0	1
2020-03-14 19:00:16	27	0	2
2020-03-14 19:01:16	266	0	1
2020-03-14 19:01:16	27	0	2
2020-03-14 19:02:16	27	0	1
2020-03-14 19:02:16	27	0	2
2020-03-14 19:03:16	266	0	1
2020-03-14 19:03:16	27	0	2
2020-03-14 19:04:16	27	0	1
2020-03-14 19:04:16	27	0	2
2020-03-14 19:05:16	266	0	1
2020-03-14 19:05:16	27	0	2
2020-03-14 19:06:16	27	0	2
2020-03-14 19:06:16	27	0	1
2020-03-14 19:07:16	27	0	1
2020-03-14 19:07:16	27	0	2
2020-03-14 19:08:16	27	0	1
2020-03-14 19:08:16	27	0	2
2020-03-14 19:09:16	266	0	1
2020-03-14 19:09:16	27	0	2
2020-03-14 19:10:16	266	0	1
2020-03-14 19:10:16	27	0	2
2020-03-14 19:11:16	266	0	1
2020-03-14 19:11:16	27	0	2
2020-03-14 19:12:16	266	0	1
2020-03-14 19:12:16	27	0	2
2020-03-14 19:13:16	266	0	1
2020-03-14 19:13:16	27	0	2
