DateTime	Type	Cage	Corner	Side	State
2020-03-16 16:49:54.113	Door	2	3	5	1
2020-03-16 16:49:55.203	Door	2	3	5	1
2020-03-16 16:49:56.478	Door	2	2	3	0
2020-03-16 16:49:56.495	Door	2	2	4	0
2020-03-16 16:50:01.251	Door	2	1	1	0
2020-03-16 16:50:01.251	Door	2	1	2	1
2020-03-16 16:50:03.555	Door	2	1	2	0
2020-03-16 16:50:04.225	Door	2	3	5	1
2020-03-16 16:50:04.225	Door	2	3	6	1
2020-03-16 16:50:06.516	Door	2	3	5	0
2020-03-16 16:50:06.520	Door	2	3	6	0
2020-03-16 16:50:15.845	Door	1	4	8	0
2020-03-16 16:50:16.129	Door	1	4	8	0
2020-03-16 16:50:17.271	Door	1	4	8	1
2020-03-16 16:50:21.202	Door	1	4	7	1
2020-03-16 16:50:24.153	Door	1	4	7	1
2020-03-16 16:50:24.154	Door	1	4	8	1
2020-03-16 16:50:26.476	Door	1	4	7	0
2020-03-16 16:50:26.480	Door	1	4	8	0
2020-03-16 16:50:34.189	Door	1	4	7	0
2020-03-16 16:50:34.189	Door	1	4	8	0
2020-03-16 16:51:44.112	Door	1	4	8	0
2020-03-16 16:51:45.541	Door	1	4	8	1
2020-03-16 16:51:50.280	Door	2	2	3	0
2020-03-16 16:51:50.296	Door	2	2	4	0
2020-03-16 16:51:51.586	Door	1	2	4	0
2020-03-16 16:51:52.996	Door	1	2	4	1
2020-03-16 16:51:57.583	Door	1	2	3	0
2020-03-16 16:51:58.875	Door	1	2	3	1
2020-03-16 16:52:02.297	Door	1	2	4	1
2020-03-16 16:52:02.815	Door	1	2	4	1
2020-03-16 16:52:05.543	Door	1	2	3	1
2020-03-16 16:52:05.543	Door	1	2	4	1
2020-03-16 16:52:07.804	Door	1	4	7	0
2020-03-16 16:52:07.875	Door	1	2	3	0
2020-03-16 16:52:07.878	Door	1	2	4	0
2020-03-16 16:52:09.230	Door	1	4	7	1
2020-03-16 16:52:10.983	Door	1	4	8	1
2020-03-16 16:52:16.870	Door	1	4	7	1
2020-03-16 16:52:16.870	Door	1	4	8	1
2020-03-16 16:52:19.182	Door	1	4	7	0
2020-03-16 16:52:19.186	Door	1	4	8	0
2020-03-16 16:52:20.502	Door	2	1	2	0
2020-03-16 16:52:21.685	Door	2	1	2	1
2020-03-16 16:52:24.172	Door	2	1	1	0
2020-03-16 16:52:24.172	Door	2	1	2	1
2020-03-16 16:52:26.496	Door	2	1	2	0
2020-03-16 16:52:27.925	Door	1	1	1	0
2020-03-16 16:52:27.942	Door	1	1	2	0
2020-03-16 16:52:29.241	Door	2	4	7	0
2020-03-16 16:52:29.256	Door	2	4	8	0
2020-03-16 16:52:52.409	Door	2	3	5	0
2020-03-16 16:52:52.425	Door	2	3	6	0
2020-03-16 16:53:06.429	Door	1	3	5	0
2020-03-16 16:53:06.447	Door	1	3	6	0
2020-03-16 16:53:10.808	Door	2	1	1	0
2020-03-16 16:53:10.824	Door	2	1	2	0
2020-03-16 16:53:23.175	Door	1	4	7	0
2020-03-16 16:53:24.602	Door	1	4	7	1
2020-03-16 16:53:32.415	Door	2	2	4	0
2020-03-16 16:53:33.839	Door	2	2	4	1
2020-03-16 16:53:35.568	Door	2	2	3	0
2020-03-16 16:53:36.993	Door	2	2	3	1
2020-03-16 16:53:50.682	Door	2	2	3	1
2020-03-16 16:53:50.851	Door	1	3	5	0
2020-03-16 16:53:50.851	Door	1	3	6	0
2020-03-16 16:53:54.713	Door	2	2	3	1
2020-03-16 16:53:55.487	Door	1	4	7	1
2020-03-16 16:53:57.791	Door	2	2	4	1
2020-03-16 16:54:01.779	Door	1	4	7	1
2020-03-16 16:54:01.779	Door	1	4	8	0
2020-03-16 16:54:03.167	Door	2	2	3	1
2020-03-16 16:54:03.167	Door	2	2	4	1
2020-03-16 16:54:04.077	Door	1	4	7	0
2020-03-16 16:54:05.406	Door	2	2	3	0
2020-03-16 16:54:05.410	Door	2	2	4	0
2020-03-16 16:54:09.411	Door	2	1	1	0
2020-03-16 16:54:09.427	Door	2	1	2	0
2020-03-16 16:54:19.682	Door	1	4	7	0
2020-03-16 16:54:19.682	Door	1	4	8	0
2020-03-16 16:54:23.711	Door	1	1	2	0
2020-03-16 16:54:24.326	Door	1	1	2	0
2020-03-16 16:54:25.135	Door	1	1	2	1
2020-03-16 16:54:28.012	Door	2	1	2	0
2020-03-16 16:54:29.434	Door	2	1	2	1
2020-03-16 16:54:33.657	Door	2	2	3	0
2020-03-16 16:54:33.673	Door	2	2	4	0
2020-03-16 16:54:36.473	Door	1	1	1	0
2020-03-16 16:54:37.387	Door	1	1	1	1
2020-03-16 16:54:42.830	Door	1	1	2	1
2020-03-16 16:54:46.991	Door	1	1	1	1
2020-03-16 16:54:49.231	Door	2	1	1	0
2020-03-16 16:54:50.653	Door	2	1	1	1
2020-03-16 16:54:50.897	Door	1	1	1	1
2020-03-16 16:54:50.897	Door	1	1	2	1
2020-03-16 16:54:53.186	Door	1	1	1	0
2020-03-16 16:54:53.190	Door	1	1	2	0
2020-03-16 16:54:58.223	Door	1	2	3	0
2020-03-16 16:54:58.223	Door	1	2	4	0
2020-03-16 16:55:04.003	Door	2	4	7	0
2020-03-16 16:55:05.426	Door	2	4	7	1
2020-03-16 16:55:08.504	Door	2	1	2	1
2020-03-16 16:55:08.715	Door	2	1	2	1
2020-03-16 16:55:09.792	Door	2	1	2	1
2020-03-16 16:55:22.446	Door	2	1	2	1
2020-03-16 16:55:23.484	Door	2	1	2	1
2020-03-16 16:55:26.831	Door	2	1	1	1
2020-03-16 16:55:26.831	Door	2	1	2	1
2020-03-16 16:55:29.117	Door	2	1	1	0
2020-03-16 16:55:29.122	Door	2	1	2	0
2020-03-16 16:55:37.979	Door	2	2	3	0
2020-03-16 16:55:37.997	Door	2	2	4	0
2020-03-16 16:55:38.767	Door	2	4	7	1
2020-03-16 16:55:47.881	Door	2	4	8	0
2020-03-16 16:55:48.056	Door	2	4	8	0
2020-03-16 16:55:49.305	Door	2	4	8	1
2020-03-16 16:55:49.664	Door	2	2	3	0
2020-03-16 16:55:49.680	Door	2	2	4	0
2020-03-16 16:55:59.758	Door	2	4	7	1
2020-03-16 16:56:00.132	Door	2	1	2	0
2020-03-16 16:56:00.543	Door	2	1	2	0
2020-03-16 16:56:01.555	Door	2	1	2	1
2020-03-16 16:56:04.700	Door	2	4	7	1
