ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	33	10	CW2	WT
0002-YK86	34	10	CW2	WT
0002-YK86	35	10	CW2	WT
0002-YK86	36	10	CW2	WT
0002-YK86	37	11	CW2	WT
0002-YK86	38	11	CW2	WT
0002-YK86	39	11	CW2	WT
0002-YK86	40	12	CW2	WT
0002-YK86	41	13	CW2	WT
0002-YK86	42	14	CW2	WT
0002-YK86	43	14	CW2	WT
0002-YK86	44	14	CW2	WT
0002-YK86	45	14	CW2	WT
0002-YK86	46	14	CW2	WT
0002-YK86	47	14	CW2	WT
0002-YK86	48	15	CW2	WT
0002-YK86	49	15	CW2	WT
0002-YK86	50	16	CW2	WT
0002-YK86	51	17	CW2	WT
0002-YK86	52	17	CW2	WT
0002-YK86	53	18	CW2	WT
0002-YK86	54	18	CW2	WT
0002-YK86	55	18	CW2	WT
0002-YK86	56	18	CW2	WT
0002-YK86	57	18	CW2	WT
0002-YK86	58	18	CW2	WT
0002-YK86	59	19	CW2	WT
0002-YK86	60	20	CW2	WT
0002-YK86	61	20	CW2	WT
0002-YK86	62	21	CW2	WT
0002-YK86	63	22	CW2	WT
0002-YK86	64	22	CW2	WT
0002-YK86	65	22	CW2	WT
0002-YK86	66	22	CW2	WT
0002-YK86	67	22	CW2	WT
0002-YK86	68	22	CW2	WT
0002-YK86	69	22	CW2	WT
0002-YK86	70	22	CW2	WT
0002-YK86	71	22	CW2	WT
0002-YK86	72	22	CW2	WT
0002-YK86	73	22	CW2	WT
0002-YK86	74	22	CW2	WT
0002-YK86	75	22	CW2	WT
0002-YK86	76	22	CW2	WT
0002-YK86	77	22	CW2	WT
0002-YK86	78	22	CW2	WT
0002-YK86	79	22	CW2	WT
0002-YK86	80	22	CW2	WT
0002-YK86	81	22	CW2	WT
0002-YK86	82	22	CW2	WT
0002-YK86	83	23	CW2	WT
0002-YK86	84	23	CW2	WT
0002-YK86	85	23	CW2	WT
0002-YK86	86	23	CW2	WT
0002-YK86	87	24	CW2	WT
0002-YK86	88	24	CW2	WT
0002-YK86	89	24	CW2	WT
0002-YK86	90	24	CW2	WT
0002-YK86	91	25	CW2	WT
0002-YK86	92	25	CW2	WT
0002-YK86	93	25	CW2	WT
0002-YK86	94	25	CW2	WT
0002-YK86	95	25	CW2	WT
0002-YK86	96	26	CW2	WT
0002-YK86	97	26	CW2	WT
0002-YK86	98	27	CW2	WT
0002-YK86	99	27	CW2	WT
0002-YK86	100	28	CW2	WT
0002-YK86	101	28	CW2	WT
0002-YK86	102	29	CW2	WT
0002-YK86	103	29	CW2	WT
0002-YK86	104	30	CW2	WT
0002-YK86	1	0	ELM1A	WT
0002-YK86	2	1	ELM1A	WT
0002-YK86	3	1	ELM1A	WT
0002-YK86	4	1	ELM1A	WT
0002-YK86	5	1	ELM1A	WT
0002-YK86	6	1	ELM1A	WT
0002-YK86	7	1	ELM1A	WT
0002-YK86	8	1	ELM1A	WT
0002-YK86	9	2	ELM1A	WT
0002-YK86	10	3	ELM1A	WT
0002-YK86	11	3	ELM1A	WT
0002-YK86	12	3	ELM1A	WT
0002-YK86	13	4	ELM1A	WT
0002-YK86	14	4	ELM1A	WT
0002-YK86	15	4	ELM1A	WT
0002-YK86	16	4	ELM1A	WT
0002-YK86	17	4	ELM1A	WT
0002-YK86	18	4	ELM1A	WT
0002-YK86	19	4	ELM1A	WT
0002-YK86	20	4	ELM1A	WT
0002-YK86	21	5	ELM1A	WT
0002-YK86	22	5	ELM1A	WT
0002-YK86	23	5	ELM1A	WT
0002-YK86	24	6	ELM1A	WT
0002-YK86	25	7	ELM1A	WT
0002-YK86	26	7	ELM1A	WT
0002-YK86	27	7	ELM1A	WT
0002-YK86	28	7	ELM1A	WT
0002-YK86	29	8	ELM1A	WT
0002-YK86	30	8	ELM1A	WT
0002-YK86	31	9	ELM1A	WT
0002-YK86	32	9	ELM1A	WT
0002-YK86	33	9	ELM1A	WT
0002-YK86	34	9	ELM1A	WT
0002-YK86	35	9	ELM1A	WT
0002-YK86	36	9	ELM1A	WT
0002-YK86	37	10	ELM1A	WT
0002-YK86	38	11	ELM1A	WT
0002-YK86	39	12	ELM1A	WT
0002-YK86	40	13	ELM1A	WT
0002-YK86	41	14	ELM1A	WT
0002-YK86	42	15	ELM1A	WT
0002-YK86	43	16	ELM1A	WT
0002-YK86	44	17	ELM1A	WT
0002-YK86	45	18	ELM1A	WT
0002-YK86	46	18	ELM1A	WT
0002-YK86	47	19	ELM1A	WT
0002-YK86	48	19	ELM1A	WT
0002-YK86	49	20	ELM1A	WT
0002-YK86	50	20	ELM1A	WT
0002-YK86	51	21	ELM1A	WT
0002-YK86	52	22	ELM1A	WT
0002-YK86	53	22	ELM1A	WT
0002-YK86	54	22	ELM1A	WT
0002-YK86	55	23	ELM1A	WT
0002-YK86	56	24	ELM1A	WT
0002-YK86	57	24	ELM1A	WT
0002-YK86	58	25	ELM1A	WT
0002-YK86	59	26	ELM1A	WT
0002-YK86	60	27	ELM1A	WT
0002-YK86	61	28	ELM1A	WT
0002-YK86	62	28	ELM1A	WT
0002-YK86	63	28	ELM1A	WT
0002-YK86	64	29	ELM1A	WT
0002-YK86	65	30	ELM1A	WT
0002-YK86	66	30	ELM1A	WT
0002-YK86	67	31	ELM1A	WT
0002-YK86	68	31	ELM1A	WT
0002-YK86	69	31	ELM1A	WT
0002-YK86	70	32	ELM1A	WT
0002-YK86	71	32	ELM1A	WT
0002-YK86	72	33	ELM1A	WT
0002-YK86	73	34	ELM1A	WT
0002-YK86	74	34	ELM1A	WT
0002-YK86	75	35	ELM1A	WT
0002-YK86	76	35	ELM1A	WT
0002-YK86	77	35	ELM1A	WT
0002-YK86	78	35	ELM1A	WT
0002-YK86	79	36	ELM1A	WT
0002-YK86	80	36	ELM1A	WT
