Group	Challenge	Number_DAs	Success_DAs	Number_Individuals	Percentage_Success	Remaining
WT	CCW1	1	2	15	13.3333333333333	1
WT	CCW1	2	2	15	13.3333333333333	1
WT	CCW1	3	4	15	26.6666666666667	1
WT	CCW1	4	6	15	40	1
WT	CCW1	5	5	15	33.3333333333333	1
WT	CCW1	6	7	15	46.6666666666667	1
WT	CCW1	7	6	15	40	1
WT	CCW1	8	3	15	20	1
WT	CCW1	9	5	15	33.3333333333333	1
WT	CCW1	10	3	15	20	1
WT	CCW1	11	4	15	26.6666666666667	1
WT	CCW1	12	3	15	20	1
WT	CCW1	13	3	15	20	1
WT	CCW1	14	4	15	26.6666666666667	1
WT	CCW1	15	6	15	40	1
WT	CCW1	16	4	15	26.6666666666667	1
WT	CCW1	17	5	15	33.3333333333333	1
WT	CCW1	18	7	15	46.6666666666667	1
WT	CCW1	19	6	15	40	1
WT	CCW1	20	7	15	46.6666666666667	1
WT	CCW1	21	10	15	66.6666666666667	1
WT	CCW1	22	3	15	20	1
WT	CCW1	23	2	15	13.3333333333333	1
WT	CCW1	24	5	15	33.3333333333333	1
WT	CCW1	25	7	15	46.6666666666667	1
WT	CCW1	26	6	15	40	1
WT	CCW1	27	4	15	26.6666666666667	1
WT	CCW1	28	5	15	33.3333333333333	1
WT	CCW1	29	5	15	33.3333333333333	1
WT	CCW1	30	8	15	53.3333333333333	1
WT	CCW1	31	3	15	20	1
WT	CCW1	32	5	15	33.3333333333333	1
WT	CCW1	33	5	15	33.3333333333333	1
WT	CCW1	34	4	15	26.6666666666667	1
WT	CCW1	35	4	15	26.6666666666667	1
WT	CCW1	36	4	15	26.6666666666667	1
WT	CCW1	37	3	15	20	1
WT	CCW1	38	7	15	46.6666666666667	1
WT	CCW1	39	7	15	46.6666666666667	1
WT	CCW1	40	3	15	20	1
WT	CCW1	41	5	15	33.3333333333333	1
WT	CCW1	42	6	15	40	1
WT	CCW1	43	5	15	33.3333333333333	1
WT	CCW1	44	5	15	33.3333333333333	1
WT	CCW1	45	4	15	26.6666666666667	1
WT	CCW1	46	6	15	40	1
WT	CCW1	47	5	15	33.3333333333333	1
WT	CCW1	48	5	15	33.3333333333333	1
WT	CCW1	49	7	15	46.6666666666667	1
WT	CCW1	50	7	15	46.6666666666667	1
WT	CCW1	51	7	15	46.6666666666667	1
WT	CCW1	52	5	15	33.3333333333333	1
WT	CCW1	53	4	15	26.6666666666667	1
WT	CCW1	54	4	15	26.6666666666667	1
WT	CCW1	55	6	15	40	1
WT	CCW1	56	5	15	33.3333333333333	1
WT	CCW1	57	3	15	20	1
WT	CCW1	58	5	15	33.3333333333333	1
WT	CCW1	59	6	14	42.8571428571429	0.933333333333333
WT	CCW1	60	3	14	21.4285714285714	0.933333333333333
WT	CCW1	61	4	14	28.5714285714286	0.933333333333333
WT	CCW1	62	4	14	28.5714285714286	0.933333333333333
WT	CCW1	63	6	14	42.8571428571429	0.933333333333333
WT	CCW1	64	5	13	38.4615384615385	0.866666666666667
WT	CCW1	65	2	12	16.6666666666667	0.8
WT	CCW1	66	3	12	25	0.8
WT	CCW1	67	4	11	36.3636363636364	0.733333333333333
WT	CCW1	68	4	10	40	0.666666666666667
WT	CCW1	69	3	10	30	0.666666666666667
WT	CCW1	70	1	10	10	0.666666666666667
WT	CCW1	71	4	10	40	0.666666666666667
WT	CCW1	72	2	9	22.2222222222222	0.6
WT	CCW1	73	4	9	44.4444444444444	0.6
WT	CCW1	74	3	7	42.8571428571429	0.466666666666667
WT	CCW1	75	3	7	42.8571428571429	0.466666666666667
WT	CCW1	76	4	7	57.1428571428571	0.466666666666667
WT	CCW1	77	5	7	71.4285714285714	0.466666666666667
WT	CCW1	78	3	6	50	0.4
WT	CCW1	79	1	5	20	0.333333333333333
WT	CCW1	80	1	5	20	0.333333333333333
WT	CCW1	81	2	5	40	0.333333333333333
WT	CCW1	82	2	5	40	0.333333333333333
WT	CCW1	83	2	4	50	0.266666666666667
WT	CCW1	84	0	4	0	0.266666666666667
WT	CCW1	85	2	4	50	0.266666666666667
WT	CCW1	86	2	4	50	0.266666666666667
WT	CCW1	87	3	4	75	0.266666666666667
WT	CCW1	88	1	3	33.3333333333333	0.2
WT	CCW1	89	1	3	33.3333333333333	0.2
WT	CCW1	90	1	3	33.3333333333333	0.2
WT	CCW1	91	1	3	33.3333333333333	0.2
WT	CCW1	92	1	3	33.3333333333333	0.2
WT	CCW1	93	0	2	0	0.133333333333333
WT	CCW1	94	0	2	0	0.133333333333333
WT	CCW1	95	0	1	0	0.0666666666666667
WT	CCW1	96	1	1	100	0.0666666666666667
WT	CCW1	97	0	1	0	0.0666666666666667
WT	CCW1	98	1	1	100	0.0666666666666667
WT	CCW1	99	1	1	100	0.0666666666666667
WT	CCW2	1	4	15	26.6666666666667	1
WT	CCW2	2	2	15	13.3333333333333	1
WT	CCW2	3	6	15	40	1
WT	CCW2	4	5	15	33.3333333333333	1
WT	CCW2	5	6	15	40	1
WT	CCW2	6	5	15	33.3333333333333	1
WT	CCW2	7	7	15	46.6666666666667	1
WT	CCW2	8	3	15	20	1
WT	CCW2	9	6	15	40	1
WT	CCW2	10	5	15	33.3333333333333	1
WT	CCW2	11	6	15	40	1
WT	CCW2	12	4	15	26.6666666666667	1
WT	CCW2	13	3	15	20	1
WT	CCW2	14	8	15	53.3333333333333	1
WT	CCW2	15	7	15	46.6666666666667	1
WT	CCW2	16	5	15	33.3333333333333	1
WT	CCW2	17	3	15	20	1
WT	CCW2	18	6	15	40	1
WT	CCW2	19	5	15	33.3333333333333	1
WT	CCW2	20	2	15	13.3333333333333	1
WT	CCW2	21	5	15	33.3333333333333	1
WT	CCW2	22	3	15	20	1
WT	CCW2	23	9	15	60	1
WT	CCW2	24	3	15	20	1
WT	CCW2	25	6	15	40	1
WT	CCW2	26	4	15	26.6666666666667	1
WT	CCW2	27	4	15	26.6666666666667	1
WT	CCW2	28	2	15	13.3333333333333	1
WT	CCW2	29	6	15	40	1
WT	CCW2	30	4	15	26.6666666666667	1
WT	CCW2	31	3	15	20	1
WT	CCW2	32	6	15	40	1
WT	CCW2	33	5	15	33.3333333333333	1
WT	CCW2	34	2	15	13.3333333333333	1
WT	CCW2	35	6	15	40	1
WT	CCW2	36	7	15	46.6666666666667	1
WT	CCW2	37	3	15	20	1
WT	CCW2	38	5	15	33.3333333333333	1
WT	CCW2	39	6	15	40	1
WT	CCW2	40	5	15	33.3333333333333	1
WT	CCW2	41	6	15	40	1
WT	CCW2	42	7	15	46.6666666666667	1
WT	CCW2	43	4	15	26.6666666666667	1
WT	CCW2	44	4	15	26.6666666666667	1
WT	CCW2	45	5	15	33.3333333333333	1
WT	CCW2	46	5	15	33.3333333333333	1
WT	CCW2	47	8	15	53.3333333333333	1
WT	CCW2	48	6	15	40	1
WT	CCW2	49	5	15	33.3333333333333	1
WT	CCW2	50	5	15	33.3333333333333	1
WT	CCW2	51	5	15	33.3333333333333	1
WT	CCW2	52	3	15	20	1
WT	CCW2	53	5	15	33.3333333333333	1
WT	CCW2	54	3	15	20	1
WT	CCW2	55	7	13	53.8461538461538	0.866666666666667
WT	CCW2	56	4	13	30.7692307692308	0.866666666666667
WT	CCW2	57	3	13	23.0769230769231	0.866666666666667
WT	CCW2	58	3	13	23.0769230769231	0.866666666666667
WT	CCW2	59	5	13	38.4615384615385	0.866666666666667
WT	CCW2	60	4	13	30.7692307692308	0.866666666666667
WT	CCW2	61	5	12	41.6666666666667	0.8
WT	CCW2	62	1	12	8.33333333333333	0.8
WT	CCW2	63	5	12	41.6666666666667	0.8
WT	CCW2	64	4	11	36.3636363636364	0.733333333333333
WT	CCW2	65	1	11	9.09090909090909	0.733333333333333
WT	CCW2	66	5	11	45.4545454545455	0.733333333333333
WT	CCW2	67	3	11	27.2727272727273	0.733333333333333
WT	CCW2	68	5	11	45.4545454545455	0.733333333333333
WT	CCW2	69	4	11	36.3636363636364	0.733333333333333
WT	CCW2	70	3	11	27.2727272727273	0.733333333333333
WT	CCW2	71	3	10	30	0.666666666666667
WT	CCW2	72	5	10	50	0.666666666666667
WT	CCW2	73	1	9	11.1111111111111	0.6
WT	CCW2	74	4	9	44.4444444444444	0.6
WT	CCW2	75	2	9	22.2222222222222	0.6
WT	CCW2	76	4	9	44.4444444444444	0.6
WT	CCW2	77	2	9	22.2222222222222	0.6
WT	CCW2	78	0	8	0	0.533333333333333
WT	CCW2	79	3	8	37.5	0.533333333333333
WT	CCW2	80	2	7	28.5714285714286	0.466666666666667
WT	CCW2	81	4	7	57.1428571428571	0.466666666666667
WT	CCW2	82	2	7	28.5714285714286	0.466666666666667
WT	CCW2	83	2	7	28.5714285714286	0.466666666666667
WT	CCW2	84	4	7	57.1428571428571	0.466666666666667
WT	CCW2	85	4	7	57.1428571428571	0.466666666666667
WT	CCW2	86	3	6	50	0.4
WT	CCW2	87	1	5	20	0.333333333333333
WT	CCW2	88	2	5	40	0.333333333333333
WT	CCW2	89	3	5	60	0.333333333333333
WT	CCW2	90	3	5	60	0.333333333333333
WT	CCW2	91	3	5	60	0.333333333333333
WT	CCW2	92	2	3	66.6666666666667	0.2
WT	CCW2	93	1	3	33.3333333333333	0.2
WT	CCW2	94	1	3	33.3333333333333	0.2
WT	CCW2	95	3	3	100	0.2
WT	CCW2	96	1	1	100	0.0666666666666667
WT	CW1	1	0	15	0	1
WT	CW1	2	2	15	13.3333333333333	1
WT	CW1	3	4	15	26.6666666666667	1
WT	CW1	4	9	15	60	1
WT	CW1	5	3	15	20	1
WT	CW1	6	3	15	20	1
WT	CW1	7	7	15	46.6666666666667	1
WT	CW1	8	6	15	40	1
WT	CW1	9	5	15	33.3333333333333	1
WT	CW1	10	6	15	40	1
WT	CW1	11	9	15	60	1
WT	CW1	12	3	15	20	1
WT	CW1	13	7	15	46.6666666666667	1
WT	CW1	14	4	15	26.6666666666667	1
WT	CW1	15	6	15	40	1
WT	CW1	16	0	15	0	1
WT	CW1	17	7	15	46.6666666666667	1
WT	CW1	18	3	15	20	1
WT	CW1	19	8	15	53.3333333333333	1
WT	CW1	20	5	15	33.3333333333333	1
WT	CW1	21	3	15	20	1
WT	CW1	22	4	15	26.6666666666667	1
WT	CW1	23	4	15	26.6666666666667	1
WT	CW1	24	4	15	26.6666666666667	1
WT	CW1	25	5	15	33.3333333333333	1
WT	CW1	26	4	15	26.6666666666667	1
WT	CW1	27	6	15	40	1
WT	CW1	28	6	15	40	1
WT	CW1	29	5	15	33.3333333333333	1
WT	CW1	30	5	15	33.3333333333333	1
WT	CW1	31	2	15	13.3333333333333	1
WT	CW1	32	3	15	20	1
WT	CW1	33	8	15	53.3333333333333	1
WT	CW1	34	5	15	33.3333333333333	1
WT	CW1	35	4	15	26.6666666666667	1
WT	CW1	36	5	15	33.3333333333333	1
WT	CW1	37	6	15	40	1
WT	CW1	38	4	15	26.6666666666667	1
WT	CW1	39	6	15	40	1
WT	CW1	40	7	15	46.6666666666667	1
WT	CW1	41	4	15	26.6666666666667	1
WT	CW1	42	3	15	20	1
WT	CW1	43	5	15	33.3333333333333	1
WT	CW1	44	5	15	33.3333333333333	1
WT	CW1	45	3	15	20	1
WT	CW1	46	4	15	26.6666666666667	1
WT	CW1	47	5	15	33.3333333333333	1
WT	CW1	48	4	15	26.6666666666667	1
WT	CW1	49	7	15	46.6666666666667	1
WT	CW1	50	4	15	26.6666666666667	1
WT	CW1	51	4	15	26.6666666666667	1
WT	CW1	52	4	15	26.6666666666667	1
WT	CW1	53	8	15	53.3333333333333	1
WT	CW1	54	3	15	20	1
WT	CW1	55	6	15	40	1
WT	CW1	56	0	15	0	1
WT	CW1	57	2	15	13.3333333333333	1
WT	CW1	58	4	15	26.6666666666667	1
WT	CW1	59	8	15	53.3333333333333	1
WT	CW1	60	7	15	46.6666666666667	1
WT	CW1	61	4	15	26.6666666666667	1
WT	CW1	62	6	15	40	1
WT	CW1	63	5	15	33.3333333333333	1
WT	CW1	64	7	15	46.6666666666667	1
WT	CW1	65	8	15	53.3333333333333	1
WT	CW1	66	4	15	26.6666666666667	1
WT	CW1	67	4	15	26.6666666666667	1
WT	CW1	68	3	15	20	1
WT	CW1	69	2	15	13.3333333333333	1
WT	CW1	70	4	15	26.6666666666667	1
WT	CW1	71	6	15	40	1
WT	CW1	72	3	15	20	1
WT	CW1	73	5	15	33.3333333333333	1
WT	CW1	74	6	14	42.8571428571429	0.933333333333333
WT	CW1	75	5	14	35.7142857142857	0.933333333333333
WT	CW1	76	1	14	7.14285714285714	0.933333333333333
WT	CW1	77	3	13	23.0769230769231	0.866666666666667
WT	CW1	78	6	13	46.1538461538462	0.866666666666667
WT	CW1	79	3	13	23.0769230769231	0.866666666666667
WT	CW1	80	6	13	46.1538461538462	0.866666666666667
WT	CW1	81	6	12	50	0.8
WT	CW1	82	4	11	36.3636363636364	0.733333333333333
WT	CW1	83	4	11	36.3636363636364	0.733333333333333
WT	CW1	84	4	10	40	0.666666666666667
WT	CW1	85	2	10	20	0.666666666666667
WT	CW1	86	3	10	30	0.666666666666667
WT	CW1	87	1	10	10	0.666666666666667
WT	CW1	88	5	9	55.5555555555556	0.6
WT	CW1	89	1	8	12.5	0.533333333333333
WT	CW1	90	2	8	25	0.533333333333333
WT	CW1	91	1	7	14.2857142857143	0.466666666666667
WT	CW1	92	2	6	33.3333333333333	0.4
WT	CW1	93	3	6	50	0.4
WT	CW1	94	0	6	0	0.4
WT	CW1	95	1	6	16.6666666666667	0.4
WT	CW1	96	2	5	40	0.333333333333333
WT	CW1	97	3	5	60	0.333333333333333
WT	CW1	98	1	5	20	0.333333333333333
WT	CW1	99	1	5	20	0.333333333333333
WT	CW1	100	2	5	40	0.333333333333333
WT	CW1	101	1	5	20	0.333333333333333
WT	CW1	102	2	5	40	0.333333333333333
WT	CW1	103	2	5	40	0.333333333333333
WT	CW1	104	3	5	60	0.333333333333333
WT	CW1	105	2	5	40	0.333333333333333
WT	CW1	106	0	5	0	0.333333333333333
WT	CW1	107	1	5	20	0.333333333333333
WT	CW1	108	5	5	100	0.333333333333333
WT	CW1	109	1	5	20	0.333333333333333
WT	CW1	110	2	4	50	0.266666666666667
WT	CW1	111	1	4	25	0.266666666666667
WT	CW1	112	2	4	50	0.266666666666667
WT	CW1	113	3	4	75	0.266666666666667
WT	CW1	114	2	4	50	0.266666666666667
WT	CW1	115	3	4	75	0.266666666666667
WT	CW1	116	1	4	25	0.266666666666667
WT	CW1	117	0	4	0	0.266666666666667
WT	CW1	118	2	4	50	0.266666666666667
WT	CW1	119	1	3	33.3333333333333	0.2
WT	CW1	120	0	3	0	0.2
WT	CW1	121	2	3	66.6666666666667	0.2
WT	CW1	122	2	2	100	0.133333333333333
WT	CW1	123	0	1	0	0.0666666666666667
WT	CW1	124	0	1	0	0.0666666666666667
WT	CW1	125	1	1	100	0.0666666666666667
WT	CW1	126	0	1	0	0.0666666666666667
WT	CW1	127	0	1	0	0.0666666666666667
WT	CW1	128	0	1	0	0.0666666666666667
WT	CW1	129	1	1	100	0.0666666666666667
WT	CW1	130	1	1	100	0.0666666666666667
WT	CW1	131	0	1	0	0.0666666666666667
WT	CW1	132	0	1	0	0.0666666666666667
WT	CW1	133	0	1	0	0.0666666666666667
WT	CW1	134	0	1	0	0.0666666666666667
WT	CW1	135	1	1	100	0.0666666666666667
WT	CW2	1	3	15	20	1
WT	CW2	2	8	15	53.3333333333333	1
WT	CW2	3	5	15	33.3333333333333	1
WT	CW2	4	5	15	33.3333333333333	1
WT	CW2	5	5	15	33.3333333333333	1
WT	CW2	6	5	15	33.3333333333333	1
WT	CW2	7	4	15	26.6666666666667	1
WT	CW2	8	6	15	40	1
WT	CW2	9	6	15	40	1
WT	CW2	10	2	15	13.3333333333333	1
WT	CW2	11	6	15	40	1
WT	CW2	12	3	15	20	1
WT	CW2	13	8	15	53.3333333333333	1
WT	CW2	14	4	15	26.6666666666667	1
WT	CW2	15	6	15	40	1
WT	CW2	16	3	15	20	1
WT	CW2	17	9	15	60	1
WT	CW2	18	1	15	6.66666666666667	1
WT	CW2	19	6	15	40	1
WT	CW2	20	4	15	26.6666666666667	1
WT	CW2	21	6	15	40	1
WT	CW2	22	6	15	40	1
WT	CW2	23	7	15	46.6666666666667	1
WT	CW2	24	4	15	26.6666666666667	1
WT	CW2	25	4	15	26.6666666666667	1
WT	CW2	26	4	15	26.6666666666667	1
WT	CW2	27	10	15	66.6666666666667	1
WT	CW2	28	7	15	46.6666666666667	1
WT	CW2	29	4	15	26.6666666666667	1
WT	CW2	30	5	15	33.3333333333333	1
WT	CW2	31	3	15	20	1
WT	CW2	32	8	15	53.3333333333333	1
WT	CW2	33	7	15	46.6666666666667	1
WT	CW2	34	4	15	26.6666666666667	1
WT	CW2	35	6	15	40	1
WT	CW2	36	5	15	33.3333333333333	1
WT	CW2	37	7	15	46.6666666666667	1
WT	CW2	38	2	15	13.3333333333333	1
WT	CW2	39	4	15	26.6666666666667	1
WT	CW2	40	9	15	60	1
WT	CW2	41	4	15	26.6666666666667	1
WT	CW2	42	6	15	40	1
WT	CW2	43	5	15	33.3333333333333	1
WT	CW2	44	5	15	33.3333333333333	1
WT	CW2	45	3	15	20	1
WT	CW2	46	10	15	66.6666666666667	1
WT	CW2	47	1	15	6.66666666666667	1
WT	CW2	48	5	15	33.3333333333333	1
WT	CW2	49	8	15	53.3333333333333	1
WT	CW2	50	6	15	40	1
WT	CW2	51	5	15	33.3333333333333	1
WT	CW2	52	5	15	33.3333333333333	1
WT	CW2	53	5	15	33.3333333333333	1
WT	CW2	54	6	15	40	1
WT	CW2	55	3	15	20	1
WT	CW2	56	2	15	13.3333333333333	1
WT	CW2	57	5	15	33.3333333333333	1
WT	CW2	58	7	15	46.6666666666667	1
WT	CW2	59	4	15	26.6666666666667	1
WT	CW2	60	4	15	26.6666666666667	1
WT	CW2	61	3	15	20	1
WT	CW2	62	9	15	60	1
WT	CW2	63	4	15	26.6666666666667	1
WT	CW2	64	6	15	40	1
WT	CW2	65	8	15	53.3333333333333	1
WT	CW2	66	5	15	33.3333333333333	1
WT	CW2	67	5	14	35.7142857142857	0.933333333333333
WT	CW2	68	2	13	15.3846153846154	0.866666666666667
WT	CW2	69	3	13	23.0769230769231	0.866666666666667
WT	CW2	70	2	12	16.6666666666667	0.8
WT	CW2	71	2	12	16.6666666666667	0.8
WT	CW2	72	3	12	25	0.8
WT	CW2	73	2	12	16.6666666666667	0.8
WT	CW2	74	2	12	16.6666666666667	0.8
WT	CW2	75	6	12	50	0.8
WT	CW2	76	3	11	27.2727272727273	0.733333333333333
WT	CW2	77	4	11	36.3636363636364	0.733333333333333
WT	CW2	78	3	10	30	0.666666666666667
WT	CW2	79	5	10	50	0.666666666666667
WT	CW2	80	3	10	30	0.666666666666667
WT	CW2	81	5	9	55.5555555555556	0.6
WT	CW2	82	3	8	37.5	0.533333333333333
WT	CW2	83	4	8	50	0.533333333333333
WT	CW2	84	2	8	25	0.533333333333333
WT	CW2	85	2	8	25	0.533333333333333
WT	CW2	86	1	6	16.6666666666667	0.4
WT	CW2	87	2	6	33.3333333333333	0.4
WT	CW2	88	0	6	0	0.4
WT	CW2	89	1	6	16.6666666666667	0.4
WT	CW2	90	2	6	33.3333333333333	0.4
WT	CW2	91	3	6	50	0.4
WT	CW2	92	2	6	33.3333333333333	0.4
WT	CW2	93	2	6	33.3333333333333	0.4
WT	CW2	94	0	6	0	0.4
WT	CW2	95	1	6	16.6666666666667	0.4
WT	CW2	96	3	6	50	0.4
WT	CW2	97	2	6	33.3333333333333	0.4
WT	CW2	98	2	6	33.3333333333333	0.4
WT	CW2	99	0	6	0	0.4
WT	CW2	100	4	6	66.6666666666667	0.4
WT	CW2	101	0	6	0	0.4
WT	CW2	102	3	6	50	0.4
WT	CW2	103	1	5	20	0.333333333333333
WT	CW2	104	4	5	80	0.333333333333333
WT	CW2	105	3	4	75	0.266666666666667
WT	CW2	106	2	3	66.6666666666667	0.2
WT	CW2	107	2	3	66.6666666666667	0.2
WT	CW2	108	1	2	50	0.133333333333333
WT	CW2	109	0	2	0	0.133333333333333
WT	CW2	110	1	2	50	0.133333333333333
WT	CW2	111	1	2	50	0.133333333333333
WT	CW2	112	1	2	50	0.133333333333333
WT	CW2	113	2	2	100	0.133333333333333
WT	CW2	114	0	1	0	0.0666666666666667
WT	CW2	115	0	1	0	0.0666666666666667
WT	CW2	116	0	1	0	0.0666666666666667
WT	ELM1A	1	6	15	40	1
WT	ELM1A	2	8	15	53.3333333333333	1
WT	ELM1A	3	2	15	13.3333333333333	1
WT	ELM1A	4	4	15	26.6666666666667	1
WT	ELM1A	5	6	15	40	1
WT	ELM1A	6	3	15	20	1
WT	ELM1A	7	3	15	20	1
WT	ELM1A	8	4	15	26.6666666666667	1
WT	ELM1A	9	6	15	40	1
WT	ELM1A	10	4	15	26.6666666666667	1
WT	ELM1A	11	3	15	20	1
WT	ELM1A	12	3	15	20	1
WT	ELM1A	13	7	15	46.6666666666667	1
WT	ELM1A	14	7	15	46.6666666666667	1
WT	ELM1A	15	2	15	13.3333333333333	1
WT	ELM1A	16	6	15	40	1
WT	ELM1A	17	4	15	26.6666666666667	1
WT	ELM1A	18	3	15	20	1
WT	ELM1A	19	5	15	33.3333333333333	1
WT	ELM1A	20	3	15	20	1
WT	ELM1A	21	3	15	20	1
WT	ELM1A	22	8	15	53.3333333333333	1
WT	ELM1A	23	5	15	33.3333333333333	1
WT	ELM1A	24	2	15	13.3333333333333	1
WT	ELM1A	25	5	15	33.3333333333333	1
WT	ELM1A	26	5	15	33.3333333333333	1
WT	ELM1A	27	4	15	26.6666666666667	1
WT	ELM1A	28	2	15	13.3333333333333	1
WT	ELM1A	29	6	15	40	1
WT	ELM1A	30	7	15	46.6666666666667	1
WT	ELM1A	31	4	15	26.6666666666667	1
WT	ELM1A	32	3	15	20	1
WT	ELM1A	33	7	15	46.6666666666667	1
WT	ELM1A	34	2	15	13.3333333333333	1
WT	ELM1A	35	6	15	40	1
WT	ELM1A	36	3	15	20	1
WT	ELM1A	37	3	15	20	1
WT	ELM1A	38	4	15	26.6666666666667	1
WT	ELM1A	39	8	15	53.3333333333333	1
WT	ELM1A	40	8	15	53.3333333333333	1
WT	ELM1A	41	10	15	66.6666666666667	1
WT	ELM1A	42	5	15	33.3333333333333	1
WT	ELM1A	43	10	15	66.6666666666667	1
WT	ELM1A	44	6	15	40	1
WT	ELM1A	45	10	15	66.6666666666667	1
WT	ELM1A	46	5	15	33.3333333333333	1
WT	ELM1A	47	11	15	73.3333333333333	1
WT	ELM1A	48	7	15	46.6666666666667	1
WT	ELM1A	49	10	15	66.6666666666667	1
WT	ELM1A	50	4	15	26.6666666666667	1
WT	ELM1A	51	10	15	66.6666666666667	1
WT	ELM1A	52	8	15	53.3333333333333	1
WT	ELM1A	53	9	15	60	1
WT	ELM1A	54	5	15	33.3333333333333	1
WT	ELM1A	55	9	15	60	1
WT	ELM1A	56	12	15	80	1
WT	ELM1A	57	6	15	40	1
WT	ELM1A	58	9	15	60	1
WT	ELM1A	59	11	15	73.3333333333333	1
WT	ELM1A	60	10	15	66.6666666666667	1
WT	ELM1A	61	6	15	40	1
WT	ELM1A	62	8	15	53.3333333333333	1
WT	ELM1A	63	7	15	46.6666666666667	1
WT	ELM1A	64	6	15	40	1
WT	ELM1A	65	10	15	66.6666666666667	1
WT	ELM1A	66	9	15	60	1
WT	ELM1A	67	8	15	53.3333333333333	1
WT	ELM1A	68	9	15	60	1
WT	ELM1A	69	10	15	66.6666666666667	1
WT	ELM1A	70	7	15	46.6666666666667	1
WT	ELM1A	71	10	15	66.6666666666667	1
WT	ELM1A	72	9	15	60	1
WT	ELM1A	73	10	15	66.6666666666667	1
WT	ELM1A	74	7	15	46.6666666666667	1
WT	ELM1A	75	8	15	53.3333333333333	1
WT	ELM1A	76	10	15	66.6666666666667	1
WT	ELM1A	77	7	15	46.6666666666667	1
WT	ELM1A	78	9	15	60	1
WT	ELM1A	79	6	15	40	1
WT	ELM1A	80	7	15	46.6666666666667	1
WT	ELM1A	81	10	15	66.6666666666667	1
WT	ELM1A	82	8	15	53.3333333333333	1
WT	ELM1A	83	5	14	35.7142857142857	0.933333333333333
WT	ELM1A	84	9	14	64.2857142857143	0.933333333333333
WT	ELM1A	85	8	14	57.1428571428571	0.933333333333333
WT	ELM1A	86	5	14	35.7142857142857	0.933333333333333
WT	ELM1A	87	7	13	53.8461538461538	0.866666666666667
WT	ELM1A	88	7	13	53.8461538461538	0.866666666666667
WT	ELM1A	89	8	13	61.5384615384615	0.866666666666667
WT	ELM1A	90	10	13	76.9230769230769	0.866666666666667
WT	ELM1A	91	6	13	46.1538461538462	0.866666666666667
WT	ELM1A	92	8	13	61.5384615384615	0.866666666666667
WT	ELM1A	93	8	13	61.5384615384615	0.866666666666667
WT	ELM1A	94	7	13	53.8461538461538	0.866666666666667
WT	ELM1A	95	7	12	58.3333333333333	0.8
WT	ELM1A	96	6	11	54.5454545454545	0.733333333333333
WT	ELM1A	97	6	11	54.5454545454545	0.733333333333333
WT	ELM1A	98	8	11	72.7272727272727	0.733333333333333
WT	ELM1A	99	6	11	54.5454545454545	0.733333333333333
WT	ELM1A	100	4	10	40	0.666666666666667
WT	ELM1A	101	3	10	30	0.666666666666667
WT	ELM1A	102	5	10	50	0.666666666666667
WT	ELM1A	103	5	10	50	0.666666666666667
WT	ELM1A	104	5	10	50	0.666666666666667
WT	ELM1A	105	4	9	44.4444444444444	0.6
WT	ELM1A	106	6	9	66.6666666666667	0.6
WT	ELM1A	107	3	8	37.5	0.533333333333333
WT	ELM1A	108	4	8	50	0.533333333333333
WT	ELM1A	109	3	8	37.5	0.533333333333333
WT	ELM1A	110	3	8	37.5	0.533333333333333
WT	ELM1A	111	2	8	25	0.533333333333333
WT	ELM1A	112	5	8	62.5	0.533333333333333
WT	ELM1A	113	5	8	62.5	0.533333333333333
WT	ELM1A	114	4	7	57.1428571428571	0.466666666666667
WT	ELM1A	115	6	7	85.7142857142857	0.466666666666667
WT	ELM1A	116	3	7	42.8571428571429	0.466666666666667
WT	ELM1A	117	4	7	57.1428571428571	0.466666666666667
WT	ELM1A	118	2	7	28.5714285714286	0.466666666666667
WT	ELM1A	119	3	6	50	0.4
WT	ELM1A	120	4	6	66.6666666666667	0.4
WT	ELM1A	121	3	5	60	0.333333333333333
WT	ELM1A	122	1	5	20	0.333333333333333
WT	ELM1A	123	4	5	80	0.333333333333333
WT	ELM1A	124	2	5	40	0.333333333333333
WT	ELM1A	125	3	4	75	0.266666666666667
WT	ELM1A	126	1	4	25	0.266666666666667
WT	ELM1A	127	2	4	50	0.266666666666667
WT	ELM1A	128	0	3	0	0.2
WT	ELM1A	129	0	3	0	0.2
WT	ELM1A	130	0	3	0	0.2
WT	ELM1A	131	1	3	33.3333333333333	0.2
WT	ELM1A	132	1	3	33.3333333333333	0.2
WT	ELM1A	133	3	3	100	0.2
WT	ELM1A	134	1	3	33.3333333333333	0.2
WT	ELM1A	135	3	3	100	0.2
WT	ELM1A	136	1	3	33.3333333333333	0.2
WT	ELM1A	137	3	3	100	0.2
WT	ELM1A	138	2	3	66.6666666666667	0.2
WT	ELM1A	139	0	2	0	0.133333333333333
WT	ELM1A	140	1	2	50	0.133333333333333
WT	ELM1A	141	1	2	50	0.133333333333333
WT	ELM1A	142	1	1	100	0.0666666666666667
WT	ELM1A	143	0	1	0	0.0666666666666667
WT	ELM1A	144	1	1	100	0.0666666666666667
WT	ELM1A	145	1	1	100	0.0666666666666667
WT	ELM1A	146	1	1	100	0.0666666666666667
WT	ELM1A	147	0	1	0	0.0666666666666667
WT	ELM1A	148	0	1	0	0.0666666666666667
WT	ELM1A	149	0	1	0	0.0666666666666667
WT	ELM1A	150	0	1	0	0.0666666666666667
